Acacia Sap,7900
Acacia Timber,1580
Aloe,3260
Arrow Mushroom,378
Ash Sap,4700
Ash Timber,439
Bag of Muddy Water,1870
Barley,1460
Big Arrow Mushroom,1600
Big Cloud Mushroom,0
Big Dwarf Mushroom,0
Big Emperor Mushroom,0
Big Fortune Teller Mushroom,0
Big Ghost Mushroom,0
Big Sky Mushroom,1250
Big Tiger Mushroom,0
Birch Plank,1770
Birch Sap,850
Birch Timber,955
Bloody Tree Knot,4060
Blue Umbrella Mushroom,0
Bracken,6600
Bunch of Silk Honey Grass,0
Bunch of Silver Azaleas,0
Cactus Rind,2350
Cactus Sap,1300
Cactus Thorn,0
Cedar Sap,3430
Cedar Timber,1470
Chicken Meat,1150
Cinnamon,0
Cloud Mushroom,825
Coal,1040
Coconut,3770
Cooking Honey,3100
Copper Ore,267
Corn,1390
Cotton,1330
Cotton Yarn,3010
Date Palm,3190
Dried Angler,0
Dried Bigeye,0
Dried Blue Tang,0
Dried Bluefish,0
Dried Cero,0
Dried Checkerboard Wrasse,0
Dried Clownfish,0
Dried Dolphinfish,0
Dried Filefish,0
Dried Flatfish,0
Dried Flying Fish,0
Dried Golden-Thread,0
Dried Grouper,0
Dried Grunt,0
Dried Gurnard,0
Dried John Dory,0
Dried Maomao,0
Dried Mullet,0
Dried Nibbler,0
Dried Octopus,0
Dried Pintado,0
Dried Porgy,0
Dried Ray,0
Dried Rockfish,0
Dried Rosefish,0
Dried Round Herring,0
Dried Saurel,0
Dried Scorpion Fish,0
Dried Sea Bass,0
Dried Siganid,0
Dried Skipjack,0
Dried Striped Catfish,0
Dried Surfperch,0
Dried Swellfish,0
Dried Swordfish,0
Dried Tapertail Anchovy,0
Dried Tuna,0
Dried Whiting,0
Dry Mane Grass,241
Dwarf Mushroom,376
Egg,4980
Elder Tree Plank,0
Elder Tree Sap,12400
Elder Tree Timber,433
Emperor Mushroom,348
Fig,2950
Fir Plank,2660
Fir Sap,2200
Fir Timber,1520
Flax,935
Flax Thread,0
Fleece,2800
Fortune Teller Mushroom,740
Freekeh,1590
Ghost Mushroom,530
Grape,2330
Green Pendulous Mushroom,0
High-Quality Arrow Mushroom,3500
High-Quality Strawberry,4390
High-Quality Sweet Potato,2090
Iron Ore,575
Knitting Yarn,8450
Lead Ore,1110
Loopy Tree Plank,0
Loopy Tree Sap,14700
Loopy Tree Timber,2150
Maple Sap,5500
Maple Timber,1090
Mythril,40000
Monk's Branch,1800
Moss Tree Plank,0
Moss Tree Sap,915
Moss Tree Timber,0
Noc Ore,1790
Nutmeg,3910
Old Tree Bark,20300
Olive,1290
Oyster,16800
Palm Plank,0
Palm Sap,4860
Palm Timber,398
Paprika,700
Pile of Sunrise Herbs,1190
Pine Plank,1950
Pine Sap,5100
Pine Timber,1000
Pink Trumpet Mushroom,0
Pistachio,1030
Platinum Ore,2410
Potato,1430
Powder of Crevice,0
Powder of Darkness,2120
Powder of Earth,9650
Powder of Flame,0
Powder of Time,0
Pumpkin,1210
Purified Water,4920
Red Tree Lump,5750
Rough Black Crystal,2880
Rough Blue Crystal,15300
Rough Diamond,3800
Rough Green Crystal,13100
Rough Lapis Lazuli,4940
Rough Mud Crystal,10700
Rough Opal,1420
Rough Red Crystal,4770
Rough Ruby,0
Rough Translucent Crystal,1350
Rough Violet Crystal,7450
Shrimp,0
Silk Honey Grass,189
Silk Thread,0
Silkworm Cocoon,990
Silver Azalea,217
Sky Mushroom,790
Special Arrow Mushroom,0
Special Sweet Potato,6450
Spirit's Leaf,2350
Star Anise,1710
Strawberry,585
Sulfur,0
Sunrise Herb,189
Sweet Potato,1490
Teff,705
Thuja Plank,0
Thuja Sap,0
Thuja Timber,0
Tiger Mushroom,360
Tin Ore,1430
Titanium Ore,3090
Trace of Ascension,60000
Trace of Battle,59500
Trace of Chaos,6600
Trace of Death,88000
Trace of Despair,6600
Trace of Forest,6950
Trace of Hunting,13200
Trace of Memory,22000
Trace of Origin,49100
Trace of Savagery,11800
Trace of Violence,89000
Trace of the Earth,92500
Vanadium Ore,3370
Vedelona,0
Volcanic Umbrella Mushroom,8250
Wheat,1430
White Cedar Sap,7900
White Cedar Timber,975
White Flower Mushroom,0
White Umbrella Mushroom,0
Zinc Ore,3880
